id,name,no,sex,byear,party,votes
1,劉文晏,1,1,1976,無黨籍及未經政黨推薦,194
2,李柏毅,2,1,1977,民主進步黨,1949
3,白喬茵,3,0,1987,中國國民黨,18582
4,陳善慧,4,1,1965,無黨籍及未經政黨推薦,17404
5,吳佩蓉,5,0,1976,無黨籍及未經政黨推薦,868
6,李眉蓁,6,0,1979,中國國民黨,14572
7,劉宥廷,7,1,1985,無黨籍及未經政黨推薦,528
8,謝天助,8,1,1936,無黨籍及未經政黨推薦,312
9,李雅慧,9,0,1975,民主進步黨,12087
10,李雅芬,10,0,1970,中國國民黨,14281
11,蘇博廷,11,1,1981,無黨籍及未經政黨推薦,412
12,鄭侑青,12,0,1989,時代力量,3707
13,陳麗珍,13,0,1966,中國國民黨,15597
14,柳淑芳,14,0,1960,無黨籍及未經政黨推薦,635
15,莊貽量,15,1,1973,台灣民眾黨,5887
16,黃文志,16,1,1982,民主進步黨,15298
17,黃偵琳,17,0,1974,民主進步黨,11480
18,陳子瑜,18,1,1982,台灣基進,5952
19,陳玫娟,19,0,1962,中國國民黨,12005
20,蘇柏銓,20,1,1986,無黨籍及未經政黨推薦,1091
